codigo_producto;codebar1;Codigo_2;Codigo_3;Codigo_4;Codigo_5;Codigo_6;Codigo_7;Codigo_8;Codigo_9;Codigo_10;Codigo_11;Codigo_12;Codigo_13;Codigo_14;Codigo_15;Codigo_16
3011422299;7798111210502;;;;;;;;;;;;;;;
3011422315;7798111210496;;;;;;;;;;;;;;;
3011422316;7798111210472;;;;;;;;;;;;;;;
3011422317;7798111210489;;;;;;;;;;;;;;;
3011422321;7798111210632;;;;;;;;;;;;;;;
3011422320;7798111210458;;;;;;;;;;;;;;;
3011422318;7798111210441;;;;;;;;;;;;;;;
3011453701;7798111211189;;;;;;;;;;;;;;;
3011453702;7798111211110;7798111210892;;;;;;;;;;;;;;
3011453225;7798111211196;;;;;;;;;;;;;;;
3011432049;7798111210755;;;;;;;;;;;;;;;
3011461011;7798180210052;;;;;;;;;;;;;;;
1012500043;7795345013329;;;;;;;;;;;;;;;
1012500044;7795345013718;;;;;;;;;;;;;;;
1020303503;7795345002033;;;;;;;;;;;;;;;
1035700040;7798015901452;;;;;;;;;;;;;;;
1088300000;7798178580178;;;;;;;;;;;;;;;
1088300041;1779817858017;;;;;;;;;;;;;;;
1007200069;7798063280486;;;;;;;;;;;;;;;
3011424915;7798068820106;7798021991287;7798052378705;7798151630834;;;;;;;;;;;;
1019400124;7795348002795;;;;;;;;;;;;;;;
1019400125;7795348002818;;;;;;;;;;;;;;;
1032800026;7795372459411;;;;;;;;;;;;;;;
1032802001;7795372000774;;;;;;;;;;;;;;;
1032802002;7795372000781;;;;;;;;;;;;;;;
2066200042;7798119969327;;;;;;;;;;;;;;;
1071900149;7798008293878;;;;;;;;;;;;;;;
1023300000;7798091910126;;;;;;;;;;;;;;;
1023500150;7791829000694;;;;;;;;;;;;;;;
1019600077;7795336292467;;;;;;;;;;;;;;;
1019600091;7795336292788;;;;;;;;;;;;;;;
1006702501;7795327000040;;;;;;;;;;;;;;;
1006702502;7795327000057;;;;;;;;;;;;;;;
1006703301;7795327061300;;;;;;;;;;;;;;;
1006703302;7795327061317;;;;;;;;;;;;;;;
1006703101;7795327060082;;;;;;;;;;;;;;;
1006703102;7795327060099;;;;;;;;;;;;;;;
1006700001;7795327061980;;;;;;;;;;;;;;;
1006700002;7795327061997;;;;;;;;;;;;;;;
1006700054;7795327064684;;;;;;;;;;;;;;;
1006700055;7795327064691;;;;;;;;;;;;;;;
1006700000;7795327060167;;;;;;;;;;;;;;;
1000900031;7793742002137;;;;;;;;;;;;;;;
