codigo_producto;cod_interno;codigo_barras
1065100056;21560;7,79812E+12
1065100057;21561;7,79812E+12
1065100058;21562;7,79812E+12
1065100059;21563;7,79812E+12
1065100060;21564;7,79812E+12
1065100063;21565;7,79812E+12
1065100064;21566;7,79812E+12
1065100065;21567;7,79812E+12
1065100068;21568;7,79812E+12
1065100069;21569;7,79812E+12
1065100070;21570;7,79812E+12
1065100071;21571;7,79812E+12
1065100072;21572;7,79812E+12
1065100073;21573;7,79812E+12
1065100074;21574;7,79812E+12
1065100075;21575;7,79812E+12
1065100076;21576;7,79812E+12
1065100077;21577;7,79812E+12
1065100078;21578;7,79812E+12
1065100080;21579;7,79812E+12
1065100082;21580;7,79812E+12
1065100084;21581;7,79812E+12
1065100086;21582;7,79812E+12
1065100088;21583;7,79812E+12
1065100090;21584;7,79812E+12
1065100091;21585;7,79812E+12
1065100092;21586;7,79812E+12
